CarNumber,Refund,Fines,Make,Model,Year
H224X836RUS,1,3500.0,Ford,Focus,1996
E6849O154RUS,1,200.0,Volkswagen,Golf,1997
O83797197RUS,2,75900.0,Ford,Focus,2007
9402KK197RUS,2,8594.5864661654,Toyota,Camry,2011
7368C8197RUS,1,4400.0,Ford,Focus,1997
H427YH197RUS,2,29700.0,Volkswagen,Passat,1985
9583EY178RUS,2,4300.0,Ford,Focus,1980
Y038E877RUS,2,6500.0,Ford,Focus,2000
9822H8161RUS,1,100.0,Ford,Focus,2019
7826C8197RUS,2,3600.0,Ford,Focus,2013
E160YX77RUS,2,2200.0,Ford,Focus,2006
82337X197RUS,2,2100.0,Ford,Focus,1982
X757HY197RUS,2,6800.0,Ford,Focus,1981
X765HY197RUS,2,13900.0,Ford,Focus,1995
934497178RUS,2,1900.0,Skoda,Octavia,1981
K2807K154RUS,1,1000.0,Ford,Focus,2017
T8008Y125RUS,2,1000.0,Ford,Focus,2009
X765HY197RUS,2,27800.0,Ford,Focus,1987
Y960EE197RUS,1,8594.5864661654,Skoda,Octavia,2008
7840C8197RUS,2,7000.0,Ford,Focus,1995
K846YE77RUS,2,2000.0,Volkswagen,Passat,1997
E40577152RUS,1,500.0,Ford,Focus,2003
7827C8197RUS,1,7500.0,Ford,Focus,2007
Y655E8750RUS,2,5200.0,Skoda,Octavia,2003
H003MH197RUS,2,2900.0,Ford,Focus,2005
Y7699C197RUS,2,15800.0,Ford,Focus,2011
Y8399C197RUS,2,1800.0,Ford,Focus,1997
9135X938RUS,2,4400.0,Ford,Focus,1980
H385TM197RUS,1,9500.0,Volkswagen,Passat,1980
9428EX178RUS,1,1000.0,Ford,Focus,1990
H837YK197RUS,2,4200.0,Audi,,2004
O83597197RUS,2,4000.0,Ford,Focus,1991
E42577152RUS,2,8594.5864661654,Ford,Focus,2008
E53277152RUS,1,1000.0,Ford,Focus,2010
C476M7161RUS,2,1500.0,Ford,Focus,2012
9943KK197RUS,2,29700.0,Ford,Focus,1993
8165XX154RUS,1,4900.0,Ford,Focus,2004
T476KX197RUS,1,1500.0,Ford,Focus,1987
C422X938RUS,2,10500.0,Ford,Focus,1991
K328T8197RUS,1,300.0,Volkswagen,Golf,1988
9466EX178RUS,2,800.0,Ford,Focus,2019
X256HE161RUS,1,2400.0,Ford,Focus,2001
Y275O8197RUS,1,8594.5864661654,Ford,Focus,1982
8165XX154RUS,2,4200.0,Ford,Focus,2009
E432XX77RUS,2,13000.0,Toyota,Camry,2005
7830C8197RUS,2,10200.0,Ford,Focus,2018
H217X836RUS,1,2000.0,Ford,Focus,2007
Y316E877RUS,2,7000.0,Ford,Focus,2005
934497178RUS,1,3800.0,Skoda,Octavia,2011
O77997197RUS,2,8594.5864661654,Ford,Focus,2000
8601XX154RUS,1,1300.0,Skoda,Octavia,1990
M741T9152RUS,2,1000.0,Ford,Focus,2009
9883HX152RUS,2,1000.0,Ford,Focus,2013
Y6829Y50RUS,1,500.0,Ford,Focus,1984
H004MH197RUS,1,39600.0,Ford,Focus,1988
704987163RUS,2,8594.5864661654,Ford,Focus,2018
E160YX77RUS,2,1100.0,Ford,Focus,1989
E316EH197RUS,1,1300.0,Volkswagen,,2018
X758HY197RUS,2,72600.0,Ford,Focus,2018
O22297197RUS,1,500.0,Ford,Focus,1993
O02597197RUS,1,800.0,Ford,Focus,1988
X015HY197RUS,2,16000.0,Toyota,Corolla,2019
T769OT197RUS,2,30900.0,Volkswagen,Golf,2009
Y778EE197RUS,1,24000.0,Volkswagen,Golf,1994
7829C8197RUS,2,1800.0,Ford,Focus,1981
T272HH163RUS,1,1000.0,Ford,Focus,2001
T018OX197RUS,2,3400.0,Toyota,Corolla,2010
Y255E877RUS,1,2500.0,Ford,Focus,2009
9182CE154RUS,2,13200.0,Ford,Focus,2015
9697MO178RUS,1,1000.0,Volkswagen,Golf,1997
C477M7161RUS,2,5000.0,Ford,Focus,2003
T686EO197RUS,1,500.0,Toyota,Camry,2015
C590EY154RUS,2,8594.5864661654,Ford,Focus,2013
T941CC96RUS,1,2000.0,Ford,Focus,1984
O22397197RUS,2,55500.0,Ford,Focus,1985
X242EC197RUS,2,10600.0,Volkswagen,Golf,2019
T020OX197RUS,1,34300.0,Toyota,Corolla,2017
E33577152RUS,2,2000.0,Ford,Focus,2009
Y973O8197RUS,1,34800.0,Ford,Focus,1982
E773EH197RUS,2,6800.0,Ford,Focus,1988
T6428M116RUS,2,6000.0,Ford,Focus,1980
Y7129Y50RUS,2,32000.0,Ford,Focus,2019
Y418EX197RUS,2,900.0,Volkswagen,Passat,2006
Y7689C197RUS,1,27000.0,Ford,Focus,1980
7066C8197RUS,1,3000.0,Volkswagen,Passat,1989
E52877152RUS,1,1500.0,Ford,Focus,1993
7369C8197RUS,2,8594.5864661654,Ford,Focus,1993
Y166O8161RUS,1,100.0,Ford,Focus,2012
705287163RUS,2,2000.0,Ford,Focus,1987
K559KC161RUS,1,100.0,Ford,Focus,1983
M0299X197RUS,2,67200.0,Ford,Focus,1986
92928M178RUS,1,600.0,Ford,Focus,2018
9822H8161RUS,1,200.0,Ford,Focus,2012
8603T8154RUS,1,3000.0,Ford,Focus,1990
84418C154RUS,1,3000.0,Ford,Focus,2000
E53488152RUS,2,1800.0,Ford,Focus,1999
9697MO178RUS,1,500.0,Volkswagen,Golf,2007
Y7709C197RUS,1,1500.0,Ford,Focus,1992
90159H178RUS,2,600.0,Volkswagen,Passat,2001
C798ET50RUS,1,10000.0,Ford,Focus,2018
Y193O8161RUS,2,600.0,Ford,Focus,2006
7248C8197RUS,2,8600.0,Ford,Mondeo,1993
Y275O8197RUS,1,6000.0,Ford,Focus,1981
K357YE77RUS,1,5000.0,Volkswagen,Golf,1980
9697MO178RUS,1,8594.5864661654,Volkswagen,Golf,1980
E0697X152RUS,1,2000.0,Skoda,Octavia,1988
E40877152RUS,1,1000.0,Ford,Focus,2006
Y351O8197RUS,1,1500.0,Ford,Focus,2007
Y356O8197RUS,2,45900.0,Ford,Focus,1984
O6939X163RUS,1,7200.0,Ford,Focus,2015
Y7649C197RUS,2,5300.0,Ford,Focus,2018
9935TE152RUS,2,2500.0,Ford,Focus,1982
704687163RUS,2,1400.0,Ford,Focus,1991
7197TT36RUS,2,6800.0,Ford,Focus,2004
X765HY197RUS,2,41700.0,Ford,Focus,1994
H115YO163RUS,1,8594.5864661654,Ford,Focus,2018
O143HO197RUS,2,30300.0,Toyota,Corolla,2015
K436MO152RUS,1,1500.0,Ford,Focus,1980
9938OH154RUS,1,500.0,Skoda,Octavia,1997
E34877152RUS,2,6100.0,Ford,Focus,1988
E5878M777RUS,1,8500.0,Skoda,Octavia,2016
E33577152RUS,1,1000.0,Ford,Focus,1984
7844C8197RUS,2,34000.0,Ford,Focus,1998
X256HE161RUS,2,800.0,Ford,Focus,1983
C584EY154RUS,1,500.0,Ford,Focus,2014
E28977161RUS,2,1500.0,Ford,Focus,2004
T016OX197RUS,2,3200.0,Toyota,Corolla,1990
H889YK197RUS,2,10600.0,Ford,Focus,2002
7363C8197RUS,2,1600.0,Ford,Focus,2006
T6039O50RUS,2,1500.0,Ford,Focus,1989
7365C8197RUS,1,2300.0,Ford,Focus,1996
Y967O8197RUS,1,4000.0,Ford,Focus,1999
E816HE77RUS,1,3000.0,Ford,Focus,1994
T6329O50RUS,1,500.0,Ford,Focus,2014
X504X8197RUS,1,8594.5864661654,Skoda,Octavia,2019
M581CH197RUS,1,200.0,Ford,Focus,2015
X523OM161RUS,2,800.0,Ford,Focus,2006
C412X938RUS,1,1000.0,Ford,Focus,1991
7831C8197RUS,2,3400.0,Ford,Focus,2016
8164XX154RUS,2,4400.0,Ford,Focus,1989
H004MH197RUS,2,9900.0,Ford,Focus,2007
X015HY197RUS,2,24000.0,Toyota,Corolla,1985
T6419O50RUS,2,9000.0,Ford,Focus,1996
E822TH36RUS,2,12900.0,Ford,Focus,2016
8437XX154RUS,1,8594.5864661654,Ford,Focus,2016
E445TC197RUS,1,3400.0,Ford,Focus,2005
C515X938RUS,1,1900.0,Ford,Focus,2019
7172TT36RUS,2,5700.0,Ford,Focus,2015
8436XX154RUS,1,800.0,Ford,Focus,2019
E79988152RUS,1,500.0,Ford,Focus,1990
8180XX154RUS,1,2800.0,Ford,Focus,1992
84438C154RUS,2,3800.0,Ford,Focus,1994
T6309O50RUS,2,24000.0,Ford,Focus,2012
T6129O50RUS,2,6000.0,Ford,Focus,2005
K339T8197RUS,2,19200.0,Ford,Focus,1999
8685HE154RUS,1,2000.0,Ford,Focus,2003
X782CO96RUS,1,8594.5864661654,Ford,Focus,1999
E591HE77RUS,2,6000.0,Ford,Focus,2013
89587X197RUS,1,4400.0,Toyota,Camry,2011
9499KX178RUS,1,2300.0,Ford,Focus,1997
8818C877RUS,1,5000.0,Volkswagen,Passat,2012
Y357O8197RUS,1,2200.0,Ford,Focus,1995
Y652O8197RUS,1,5800.0,Volkswagen,Touareg,2011
X767HY197RUS,2,18000.0,Ford,Focus,2007
H220X836RUS,1,7000.0,Ford,Focus,1988
H218X836RUS,2,17500.0,Ford,Focus,2007
T913CT197RUS,1,7900.0,Toyota,Camry,1988
T6439O50RUS,2,16500.0,Ford,Focus,2006
7784KT197RUS,2,13200.0,Ford,Focus,1994
X286TC36RUS,2,8594.5864661654,Ford,Focus,1986
O752MX161RUS,1,1300.0,Ford,Focus,1980
Y7449Y50RUS,1,8000.0,Ford,Focus,2008
H115YO163RUS,2,1100.0,Ford,Focus,2010
8818C877RUS,2,10000.0,Volkswagen,Passat,2019
92828M178RUS,1,300.0,Ford,Focus,1994
Y650E8750RUS,1,500.0,Skoda,Octavia,1992
X767HY197RUS,2,36000.0,Ford,Focus,2003
9498KX178RUS,2,800.0,Ford,Focus,2007
83298C154RUS,1,100.0,Ford,Focus,2016
8321XX154RUS,1,100.0,Ford,Focus,2015
8316XX154RUS,1,2200.0,Ford,Focus,1981
T017OX197RUS,2,12700.0,Toyota,Corolla,1988
H977HY161RUS,1,8594.5864661654,Ford,Focus,1985
7788KT197RUS,2,8594.5864661654,Ford,Focus,2001
X522OM161RUS,1,1500.0,Ford,Focus,2019
O085E8197RUS,1,300.0,Volkswagen,Golf,1997
8166XX154RUS,1,600.0,Ford,Focus,2001
705387163RUS,2,700.0,Ford,Focus,1982
O017KO197RUS,1,800.0,Ford,Focus,2006
X4138H125RUS,1,300.0,Ford,Focus,2016
8441XX154RUS,1,500.0,Ford,Focus,1980
M0269X197RUS,2,8594.5864661654,Ford,Focus,2008
7781KT197RUS,1,1200.0,Ford,Focus,1988
T483CT96RUS,1,500.0,Ford,Focus,2012
T940CC96RUS,2,1500.0,Ford,Focus,2016
C58078163RUS,1,100.0,Ford,Focus,1987
O02397197RUS,1,4000.0,Volkswagen,Jetta,2005
T018OX197RUS,2,6800.0,Toyota,Corolla,1986
H963HY161RUS,1,1400.0,Ford,Focus,1997
8611T8154RUS,2,2000.0,Ford,Focus,2004
704787163RUS,2,2800.0,Ford,Focus,2017
E53488152RUS,2,3600.0,Ford,Focus,2017
Y7129Y50RUS,1,16000.0,Ford,Focus,2012
C313MM99RUS,1,7500.0,Toyota,Camry,1990
8611T8154RUS,1,1000.0,Ford,Focus,2013
X763HY197RUS,2,9500.0,Ford,Focus,2009
M386M9197RUS,2,5800.0,Volkswagen,Golf,1983
8605T8154RUS,1,1000.0,Ford,Focus,1980
O22297197RUS,1,8594.5864661654,Ford,Focus,1992
7147OE161RUS,1,500.0,Ford,Focus,2018
O134HE197RUS,2,7600.0,Ford,Focus,2013
7361C8197RUS,1,1600.0,Ford,Focus,1994
Y359EY197RUS,2,3000.0,Skoda,Octavia,1988
T6559O50RUS,1,4000.0,Ford,Focus,2018
E53277152RUS,1,500.0,Ford,Focus,1984
X015HY197RUS,1,8000.0,Toyota,Corolla,2014
9469EX178RUS,2,2100.0,Ford,Focus,2018
Y6839Y50RUS,2,3000.0,Ford,Focus,1985
H237YH197RUS,1,600.0,Ford,Focus,2005
T948OM96RUS,1,2000.0,Ford,Focus,2018
T395KX197RUS,2,15200.0,Ford,Focus,2014
M301CH161RUS,1,8000.0,Ford,Focus,1995
M581CH197RUS,1,100.0,Ford,Focus,2006
E79988152RUS,1,1500.0,Ford,Focus,2008
9496KX178RUS,1,500.0,Ford,Focus,1995
T6319O50RUS,2,8594.5864661654,Ford,Focus,1983
H305T8197RUS,1,28100.0,Ford,Focus,2003
8201XX154RUS,2,2600.0,Ford,Focus,1995
O64297197RUS,1,300.0,Ford,Focus,2005
9523M8178RUS,1,600.0,Skoda,Octavia,2011
Y273O8197RUS,2,52600.0,Ford,Focus,2010
T6229O50RUS,2,2500.0,Ford,Focus,1984
9943KK197RUS,2,19800.0,Ford,Focus,1992
X023HY197RUS,2,10200.0,Volvo,,1984
8226XX154RUS,2,1000.0,Ford,Focus,1992
Y038TO197RUS,1,7600.0,Toyota,Corolla,1990
M0289X197RUS,2,40600.0,Ford,Focus,1999
E811HE77RUS,2,7000.0,Ford,Focus,1980
X795O796RUS,1,2000.0,Ford,Focus,2016
O39997197RUS,1,9000.0,Ford,Focus,2014
97968K152RUS,2,500.0,Ford,Focus,2006
K339T8197RUS,2,8594.5864661654,Ford,Focus,2019
H219X836RUS,1,1600.0,Ford,Focus,2007
T6169O50RUS,1,500.0,Ford,Focus,2011
Y352O8197RUS,2,25900.0,Ford,Focus,1990
94178K154RUS,1,500.0,Ford,Focus,2009
7365C8197RUS,2,6900.0,Ford,Focus,1990
9467EX178RUS,2,3700.0,Ford,Focus,1993
O78097197RUS,2,1400.0,Ford,Focus,2005
X5707X161RUS,2,500.0,Volkswagen,Passat,2012
Y232E877RUS,2,5000.0,Ford,Focus,2012
Y388E877RUS,2,19000.0,Ford,Focus,2001
X255HE161RUS,1,400.0,Ford,Focus,1985
E552MO152RUS,1,8594.5864661654,Ford,Focus,1999
97998K152RUS,2,6300.0,Ford,Focus,1997
Y963O8197RUS,2,21600.0,Ford,Focus,1986
Y778EE197RUS,2,168000.0,Volkswagen,Golf,1995
T654HT96RUS,2,2000.0,Toyota,Corolla,1995
T477KX197RUS,2,94000.0,Ford,Focus,1993
T2639T116RUS,1,3000.0,Ford,Focus,2004
O49797197RUS,2,5300.0,Ford,Focus,2014
O83597197RUS,2,8000.0,Ford,Focus,2019
H387TM197RUS,2,3200.0,Volkswagen,Passat,1983
O68897197RUS,1,8200.0,Ford,Focus,2007
72457Y96RUS,1,900.0,Ford,Focus,1999
7064C8197RUS,1,12800.0,Volkswagen,Passat,1992
E948C8152RUS,2,6000.0,Ford,Focus,1999
C514X938RUS,2,8594.5864661654,Ford,Focus,2008
C589EY154RUS,1,4500.0,Ford,Focus,2011
K899T8197RUS,2,15400.0,Ford,Focus,2010
T6418M116RUS,2,24600.0,Ford,Focus,1997
8607XX154RUS,2,2400.0,Skoda,Octavia,1982
92778M178RUS,2,3000.0,Ford,Focus,2019
T288CT96RUS,1,4500.0,Ford,Focus,2003
9886HX152RUS,2,2900.0,Ford,Focus,2012
C583EY154RUS,1,1000.0,Ford,Focus,2017
7788KT197RUS,1,20000.0,Ford,Focus,1984
T016OX197RUS,2,9600.0,Toyota,Corolla,2014
T6419O50RUS,2,27000.0,Ford,Focus,2006
C592EY154RUS,1,1000.0,Ford,Focus,2002
T6459O50RUS,1,2000.0,Ford,Focus,2001
Y356O8197RUS,2,8594.5864661654,Ford,Focus,1981
X759HY197RUS,2,12500.0,Ford,Focus,1993
705787163RUS,1,100.0,Ford,Focus,2001
Y973O8197RUS,1,69600.0,Ford,Focus,1996
92898M178RUS,1,1600.0,Ford,Focus,1992
9671EC178RUS,1,600.0,Ford,Focus,1995
M302CH161RUS,1,500.0,Ford,Focus,1991
X023HY197RUS,2,6800.0,Volvo,,1983
M578CH197RUS,2,9000.0,Ford,Focus,1988
O77997197RUS,2,5600.0,Ford,Focus,1996
7368C8197RUS,2,8800.0,Ford,Focus,2010
9683EC178RUS,2,6500.0,Ford,Focus,2011
Y207O8161RUS,1,500.0,Ford,Focus,1990
96659X178RUS,1,2700.0,Ford,Focus,2010
T912CT197RUS,2,19800.0,Toyota,Camry,2013
7183TT36RUS,2,16200.0,Ford,Focus,2013
89557X197RUS,2,22400.0,Toyota,Camry,2005
E773EH197RUS,2,8594.5864661654,Ford,Focus,1983
Y359O8197RUS,1,2000.0,Ford,Focus,2009
K2817K154RUS,1,4500.0,Ford,Focus,1993
X758HY197RUS,2,145200.0,Ford,Focus,2015
Y964O8197RUS,1,1000.0,Ford,Focus,1998
H967HY161RUS,2,4500.0,Ford,Focus,1998
E394MO152RUS,2,10500.0,Ford,Focus,1996
O50699163RUS,1,1100.0,Ford,Focus,1995
9463EX178RUS,1,1400.0,Ford,Focus,2018
E53677152RUS,2,5500.0,Ford,Focus,1984
K338T8197RUS,2,17400.0,Ford,Focus,2016
Y4298M777RUS,2,2000.0,Skoda,Octavia,1998
Y687HM197RUS,1,8594.5864661654,BMW,,1982
8311XX154RUS,2,4300.0,Ford,Focus,1991
98037H178RUS,2,2500.0,Ford,Focus,2004
7828C8197RUS,2,6700.0,Ford,Focus,1996
H980HY161RUS,2,1800.0,Ford,Focus,2004
H906YK197RUS,1,12000.0,Ford,Focus,2002
7199MT197RUS,1,9300.0,Volkswagen,Golf,1994
X908XC197RUS,2,46000.0,Volkswagen,Jetta,1992
T171CC96RUS,2,2000.0,Ford,Focus,2013
X4108H125RUS,2,1300.0,Ford,Focus,1989
Y966O8197RUS,2,10400.0,Ford,Focus,1995
K2797K154RUS,2,2400.0,Ford,Focus,1993
7089H8163RUS,2,4400.0,Toyota,Corolla,1986
9883HX152RUS,1,500.0,Ford,Focus,1989
7841C8197RUS,1,12000.0,Ford,Focus,1982
9940KK197RUS,1,8594.5864661654,Ford,Focus,1981
H224X836RUS,2,7000.0,Ford,Focus,2004
H971HY161RUS,2,7400.0,Ford,Focus,1994
M0269X197RUS,2,20600.0,Ford,Focus,1991
E316EH197RUS,1,1300.0,Volkswagen,Touareg,2004
X257HE161RUS,1,5000.0,Ford,Focus,1987
H844YH197RUS,2,3000.0,Ford,Focus,2012
9523M8178RUS,2,300.0,Skoda,Octavia,1981
E33477152RUS,1,500.0,Ford,Focus,1994
Y156E877RUS,2,7500.0,Ford,Focus,1985
E396MO152RUS,2,3000.0,Ford,Focus,1991
E0697X152RUS,2,8594.5864661654,Skoda,Octavia,2015
Y969O8197RUS,1,15600.0,Ford,Focus,1994
9028CO161RUS,1,1500.0,Ford,Focus,2005
7840C8197RUS,2,3500.0,Ford,Focus,2002
T6249O50RUS,2,8500.0,Ford,Focus,1990
E53677152RUS,2,11000.0,Ford,Focus,1998
E42377152RUS,2,3000.0,Ford,Focus,1999
9941KK197RUS,1,800.0,Ford,Focus,2001
E28877161RUS,1,500.0,Ford,Focus,1994
M0299X197RUS,2,19200.0,Ford,Focus,1984
M372CH197RUS,1,21600.0,Ford,Focus,2009
K040CC197RUS,2,3600.0,Ford,Focus,1995
E41577152RUS,2,3000.0,Ford,Focus,1996
9763HY161RUS,1,900.0,Ford,Focus,1988
T535ET96RUS,2,3000.0,Ford,Focus,1990
92918M178RUS,2,7600.0,Ford,Focus,2006
Y655E8750RUS,1,2600.0,Skoda,Octavia,1983
K2797K154RUS,1,8594.5864661654,Ford,Focus,2003
K559KC161RUS,1,200.0,Ford,Focus,2019
7369C8197RUS,2,10100.0,Ford,Focus,1985
8321XX154RUS,1,200.0,Ford,Focus,2003
O134HE197RUS,2,11400.0,Ford,Focus,1983
H961HY161RUS,2,2500.0,Ford,Focus,2002
M2169X197RUS,2,3100.0,Ford,Focus,2010
707987163RUS,1,1100.0,Ford,Focus,1987
8234XX154RUS,1,1300.0,Ford,Focus,2012
X759HY197RUS,1,37500.0,Ford,Focus,2000
O83697197RUS,2,6100.0,Ford,Focus,1988
92918M178RUS,1,1900.0,Ford,Focus,1985
92928M178RUS,1,1200.0,Ford,Focus,2000
E52677152RUS,2,2500.0,Ford,Focus,2013
8451M7154RUS,1,500.0,Ford,Focus,2004
9589EY178RUS,1,8594.5864661654,Ford,Focus,2010
H907YK197RUS,2,7100.0,Ford,Focus,2000
O39897197RUS,2,3800.0,Ford,Focus,2001
M3879X197RUS,2,6300.0,Volkswagen,Touareg,1998
C299K9154RUS,1,500.0,Ford,Focus,2010
M0299X197RUS,1,9600.0,Ford,Focus,2006
8437XX154RUS,2,800.0,Ford,Focus,2002
9468EX178RUS,1,4000.0,Ford,Focus,2015
M375CH197RUS,2,18100.0,Ford,Focus,2009
H982HY161RUS,1,300.0,Ford,Focus,2004
8201XX154RUS,1,7800.0,Ford,Focus,1995
8224XX154RUS,1,2500.0,Ford,Focus,2000
O22397197RUS,1,18500.0,Ford,Focus,1990
Y653E8750RUS,1,500.0,Skoda,Octavia,2012
K558KC161RUS,1,500.0,Ford,Focus,2003
O058M7161RUS,1,1900.0,Ford,Focus,2001
M256OH161RUS,2,1600.0,Ford,Focus,2018
7183TT36RUS,2,5400.0,Ford,Focus,2002
T242H8197RUS,2,8594.5864661654,Skoda,Octavia,2002
K27188138RUS,1,2000.0,Ford,Focus,2006
X782CO96RUS,1,1000.0,Ford,Focus,2004
Y7659C197RUS,1,1500.0,Ford,Focus,1993
X523OM161RUS,1,400.0,Ford,Focus,2017
96629X178RUS,1,7000.0,Ford,Focus,1985
9881HX152RUS,2,10300.0,Ford,Focus,2000
9020YC197RUS,2,72500.0,Skoda,Octavia,2015
T479KX197RUS,2,12000.0,Ford,Focus,1996
M680T9152RUS,2,9000.0,Volkswagen,Jetta,2009
7831C8197RUS,2,6800.0,Ford,Focus,1997
7844C8197RUS,2,17000.0,Ford,Focus,1996
T011MY163RUS,2,4000.0,Ford,Focus,2006
C410X938RUS,1,1100.0,Ford,Focus,1999
X762HY197RUS,1,500.0,Ford,Focus,2003
9470EX178RUS,1,500.0,Ford,Focus,1989
X4128H125RUS,2,8594.5864661654,Ford,Focus,2002
9762HY161RUS,2,2600.0,Ford,Focus,1998
H419XE197RUS,2,6900.0,Toyota,Corolla,1989
98017H178RUS,1,1500.0,Ford,Focus,2002
Y780EE197RUS,2,4600.0,Volkswagen,Golf,1997
M580CH197RUS,2,9500.0,Ford,Focus,2010
